,,,,,,,,,,
ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,Type,補足コメント,,背景画像名
1,,,,,,,none,開始BGM(あたたかな灯火の中で)/背景,0,01_night_room
2,era,ねえ、ばあば。,,,L,normal,talk,,7,
3,eleth,なんだい、イーラや。,,,R,normal,talk,,10,
4,era,あのね、眠くないから、今日もご本読んでー。 ,,,L,normal,talk,,22,
5,eleth,あらあら、もう十と一つにもなるのに、甘えん坊さんねぇ。じゃあねえ、今日はこの本を読んであげようかしら。,,,R,smile,talk,,51,
6,eleth,これはねママが１番好きだった物語だよ。,,,R,smile,talk,,19,
7,era,うん。やったあ。どんなお話なの？,,,L,normal,talk,,16,
8,eleth,ずっと昔の、魔族の王様のお話だよ。どれどれ。,,,R,normal,talk,,22,
9,,,,,,normal,none,背景の変更,0,02_moon_night
10,eleth,昔々、魔族がまだ誕生していない遥か昔、人と神の時代に聖戦が起こりました。,,,R,normal,talk,,36,
11,eleth,その時代では、「権力と金の神ギルディ」と「愛と慈悲の神イルミア」の信者で世界は二つに分かれていました。,,,R,normal,talk,,51,
12,eleth,そしてギルディの信者たちは、たびたびイルミアの信者たちから財産や権力を奪いましたが、,,,R,normal,talk,,42,
13,eleth,イルミアの信者たちは抵抗をしませんでした。,,,R,normal,talk,,21,
14,era,かわいそう。イルミアの信者たちはどうして抵抗しないの？,,,L,cry,talk,,27,
15,eleth,そうねぇ。どうしてだろうねえ。それは自分で考えてごらん。,,,R,normal,talk,,28,
16,era,えー。うーん...,,,L,normal,talk,※ノーマルにしていますが、ちょっと場面に合わない暗い笑顔ですので、首を傾げているような疑問を抱いた表情を後々作った場合はそちらに差し替えていただいた方がいいと思います。以後も同様なシーンが出てくるので、その時はここに「疑問顔」と書きます。,9,
17,eleth,・・・ヴォルカスは信心深いイルミアの信者であり、騎士であったそうな。,,,R,normal,talk,,34,
18,eleth,しかし、なぜ自分たちだけ奪われなければならないのか、不思議でならなかった。そこでヴォルカスは神に問いかけました。,,,R,normal,talk,,56,
19,volcus,イルミア様、なぜ我々は彼の者達を愛さねばならないのですか。,,,R,angry,talk,,29,
20,eleth,しかし、神は何も答えません。,,,R,normal,talk,,14,
21,volcus,イルミア様、なぜ我々は彼の者達を...愛さねばならないのですか。,,,R,angry,talk,,32,
22,eleth,やっぱり、神は何も答えません。,,,R,normal,talk,,15,
23,era,神様はどうして答えを教えてくれないの？,,,L,normal,talk,※疑問顔,19,
24,eleth,それはね、きっと自分で考えないといけないことだからよ。,,,R,normal,talk,,27,
25,era,えー、うーん...わかんない...うーん。,,,L,normal,talk,※疑問顔,21,
26,eleth,来る日も、来る日も、ヴォルカスは神に問い続けました。でも神からの言葉はない。,,,R,normal,talk,,38,
27,eleth,ある日ヴォルカスは神殿に来なくなりました。彼は最後の晩、神にこう問いかけました。,,,R,normal,talk,,40,
28,volcus,イルミア様、なぜ我々だけ、奪われ続けなければならないのですか！,,,R,angry,talk,背景の変更,31,03_batle_field
29,eleth,その日ヴォルカスは魔に落ちました。,,,R,normal,talk,,17,
30,eleth,それからヴォルカスはあちこちで苦しむ人々を魔の力で救い、あっという間に魔族の仲間をこしらえた。,,,R,normal,talk,,47,
31,era,すごい！,,,L,smile,talk,,4,
32,eleth,そうだね。きっとすごい強い騎士様だったんだろうねえ。,,,R,normal,talk,,26,
33,era,かっこいいね。,,,L,normal,talk,,7,
34,eleth,そうねえ...。さて、強欲なギルディはヴォルカスにこう持ちかけました。,,,R,normal,talk,,35,
35,guildy,イルミアの信者を魔族に変えよ。さすれば我が貴様らの繁栄を約束してやろう。,,,R,normal,talk,,36,
36,eleth,ヴォルカスはギルディのことが大嫌いでしたが、戦っては多勢に無勢です。,,,R,normal,talk,,34,
37,eleth,そして、多くの者が魔に落ちた頃、ギルディは自分の信者たちにこう言い放ったのです。,,,R,normal,talk,背景の変更,40,04_god_field
38,guildy,信者たちよ、イルミアとヴォルカスを滅（ほろぼ）し、我が時代を作るのだ！奪え！己と家族と、その末代(まつだい)のために。,,,R,angry,talk,,59,
